"H",12,20230102132154,batch2
"U",2023-01-01 14:32:34.000,8,False
"U",2023-01-01 14:32:34.000,9,True
"U",2023-01-01 14:32:34.000,10,True
"D",2023-01-02 13:32:34.000,3,False
"D",2023-01-02 13:32:34.000,4,False
"D",2023-01-02 13:32:34.000,6,False
"I",2023-01-02 13:32:34.000,11,True
"I",2023-01-02 13:32:34.000,12,True
"I",2023-01-02 13:32:34.000,13,True
"I",2023-01-02 13:32:34.000,14,False
"I",2023-01-02 13:32:34.000,15,True
"I",2023-01-02 13:32:34.000,16,True
"U",2023-01-01 14:32:34.000,21,True
"U",2023-01-01 14:32:34.000,24,True
"D",2023-01-01 14:32:34.000,25,False
"D",2023-01-01 14:32:34.000,26,False
"I",2023-01-01 14:32:34.000,27,True
"I",2023-01-01 14:32:34.000,28,True
"I",2023-01-01 14:32:34.000,29,True
"I",2023-01-01 14:32:34.000,30,False
"I",2023-01-01 14:32:34.000,31,False
"I",2023-01-01 14:32:34.000,32,True
"I",2023-01-01 14:32:34.000,33,False
"F",customer_preferences,20230102133443





